country,money_from_all_documented_projects(reg+single),ISO
Somalia,590870442.2,SOM
Sudan,553485934.9,SDN
Libya,396428927.3,LBY
Ethiopia,334563566,ETH
Niger,294621000,NER
Morocco,288293500,MAR
South Sudan,237927559.7,SSD
Mali,237100233,MLI
Burkina Faso,222506000,BFA
Senegal,181837934,SEN
Kenya,149452214.8,KEN
Nigeria,133898633,NGA
Tchad,131773250,TCD
Uganda,127980675.8,UGA
Mauritanie,96098000,MRT
Djibouti,91883150.55,DJI
Egypt,89200000,EGY
Eritrea,88555434.55,ERI
Guinée,83404840,GIN
Tunisia,76450000,TUN
Cameroun,48075000,CMR
United Republic of Tanzania,41243400,TZA
The Gambia,38950000,GMB
Côte d'Ivoire,33702420,CIV
Ghana,28994950,GHA
Rwanda,12800000,RWA
Algeria,12330000,DZA
Guinea-Bissau,4379540,GNB
Cabo Verde,4000000,CPV
Democratic Republic of the Congo,3000000,COD
Benin,1000000,BEN
Burundi,0,BDI
Liberia,0,LBR
Sierra Leone,0,SLE
Togo,0,TGO