"","iati_id","budget","recipient_country","recipient_percentage"
"1","T05-EUTF-SAH-TD-07-03",1e+06,"TD",
"2","T05-EUTF-SAH-TD-07-02",7e+06,"TD",
"3","T05-EUTF-SAH-TD-01-11",1172326.99,"TD",
"4","T05-Eutf-SAH-TD-01-10",892000,"TD",
"5","T05-EUTF-SAH-TD-01-09",947492.8,"TD",
"6","T05-EUTF-SAH-TD-08-01",1e+07,"TD",
"7","T05-EUTF-SAH-REG-20-01",9998500,"BF",
"8","T05-EUTF-SAH-REG-20-01",9998500,"ML",
"9","T05-EUTF-SAH-REG-20-01",9998500,"MR",
"10","T05-EUTF-SAH-REG-20-01",9998500,"NE",
"11","T05-EUTF-SAH-REG-20-01",9998500,"TD",
"12","T05-EUTF-SAH-GN-04-01",8e+06,"GN",
"13","T05-EUTF-SAH-NE-12-03",3138349.06,"NE",
"14","T05-EUTF-SAH-MR-08-01",2e+07,"MR",
"15","T05-EUTF-SAH-REG-15-01",1.5e+07,"BF",
"16","T05-EUTF-SAH-REG-15-01",1.5e+07,"CI",
"17","T05-EUTF-SAH-REG-15-01",1.5e+07,"CM",
"18","T05-EUTF-SAH-REG-15-01",1.5e+07,"GH",
"19","T05-EUTF-SAH-REG-15-01",1.5e+07,"GM",
"20","T05-EUTF-SAH-REG-15-01",1.5e+07,"GN",
"21","T05-EUTF-SAH-REG-15-01",1.5e+07,"ML",
"22","T05-EUTF-SAH-REG-15-01",1.5e+07,"MR",
"23","T05-EUTF-SAH-REG-15-01",1.5e+07,"NE",
"24","T05-EUTF-SAH-REG-15-01",1.5e+07,"NG",
"25","T05-EUTF-SAH-REG-15-01",1.5e+07,"SN",
"26","T05-EUTF-SAH-REG-15-01",1.5e+07,"TD",
"27","T05-EUTF-SAH-ML-12-01",1.3e+07,"ML",
"28","T05-EUTF-SAH-REG-18-04",18240000,"BF",
"29","T05-EUTF-SAH-REG-18-04",18240000,"ML",
"30","T05-EUTF-SAH-REG-18-04",18240000,"NE",
"31","T05-EUTF-SAH-REG-11-01",15500000,"BF",
"32","T05-EUTF-SAH-REG-11-01",15500000,"CI",
"33","T05-EUTF-SAH-REG-11-01",15500000,"CM",
"34","T05-EUTF-SAH-REG-11-01",15500000,"GH",
"35","T05-EUTF-SAH-REG-11-01",15500000,"GN",
"36","T05-EUTF-SAH-REG-11-01",15500000,"ML",
"37","T05-EUTF-SAH-REG-11-01",15500000,"NE",
"38","T05-EUTF-SAH-REG-11-01",15500000,"SN",
"39","T05-EUTF-SAH-REG-18-02",8e+06,"NE",
"40","T05-EUTF-SAH-REG-18-06",12691500,"ML",
"41","T05-EUTF-SAH-REG-18-06",12691500,"MR",
"42","T05-EUTF-SAH-REG-18-07",17575000,"BF",
"43","T05-EUTF-SAH-REG-18-07",17575000,"NE",
"44","T05-EUTF-SAH-REG-18-09",2.7e+07,"BF",
"45","T05-EUTF-SAH-REG-18-09",2.7e+07,"ML",
"46","T05-EUTF-SAH-REG-18-09",2.7e+07,"NE",
"47","T05-EUTF-SAH-REG-18-08",12734094,"NE",
"48","T05-EUTF-SAH-REG-18-08",12734094,"TD",
"49","T05-EUTF-SAH-REG-18-01",5e+06,"BF",
"50","T05-EUTF-SAH-REG-18-01",5e+06,"ML",
"51","T05-EUTF-SAH-REG-18-01",5e+06,"MR",
"52","T05-EUTF-SAH-REG-18-01",5e+06,"NE",
"53","T05-EUTF-SAH-REG-18-01",5e+06,"TD",
"54","T05-EUTF-SAH-MR-08-03",1500000,"MR",
"55","T05-EUTF-SAH-REG-16-01",1995038,"BF",
"56","T05-EUTF-SAH-REG-16-01",1995038,"CI",
"57","T05-EUTF-SAH-REG-16-01",1995038,"CM",
"58","T05-EUTF-SAH-REG-16-01",1995038,"GH",
"59","T05-EUTF-SAH-REG-16-01",1995038,"GM",
"60","T05-EUTF-SAH-REG-16-01",1995038,"GN",
"61","T05-EUTF-SAH-REG-16-01",1995038,"GW",
"62","T05-EUTF-SAH-REG-16-01",1995038,"ML",
"63","T05-EUTF-SAH-REG-16-01",1995038,"MR",
"64","T05-EUTF-SAH-REG-16-01",1995038,"NE",
"65","T05-EUTF-SAH-REG-16-01",1995038,"NG",
"66","T05-EUTF-SAH-REG-16-01",1995038,"SN",
"67","T05-EUTF-SAH-REG-16-01",1995038,"TD",
"68","T05-EUTF-HOA-SO-57-02",1.2e+07,"SO",
"69","T05-EUTF-HOA-ET-72-01",8700000,"ET",
"70","T05-EUTF-NOA-REG-04-01",1e+07,"DZ",
"71","T05-EUTF-NOA-REG-04-01",1e+07,"EG",
"72","T05-EUTF-NOA-REG-04-01",1e+07,"MA",
"73","T05-EUTF-NOA-REG-04-01",1e+07,"TN",
"74","T05-EUTF-NOA-LY-12-01",8e+06,"LY",
"75","T05-EUTF-SAH-REG-26",510000,"BF",
"76","T05-EUTF-SAH-REG-26",510000,"ML",
"77","T05-EUTF-SAH-REG-26",510000,"MR",
"78","T05-EUTF-SAH-REG-26",510000,"NE",
"79","T05-EUTF-SAH-REG-26",510000,"TD",
"80","T05-EUTF-SAH-MR-09",4550000,"MR",
"81","T05-EUTF-HOA-ET-40-08",349950,"ET","100.0"
"82","T05-EUTF-NOA-LY-12-03",6e+06,"LY",
"83","T05-EUTF-NOA-LY-11-01",1.3e+07,"LY",
"84","T05-EUTF-HOA-ER-103-01",450000,"ER","100.0"
"85","T05-EUTF-HOA-ER-103",450000,"ER","100.0"
"86","T05-EUTF-HOA-SS-48-02",8313981,"SS",
"87","T05-EUTF-HOA-REG-26-08",1e+06,"ET",
"88","T05-EUTF-HOA-REG-26-08",1e+06,"KE",
"89","T05-EUTF-HOA-REG-26-08",1e+06,"SO",
"90","T05-EUTF-HOA-REG-26-09",3e+06,"ET",
"91","T05-EUTF-HOA-REG-26-09",3e+06,"KE",
"92","T05-EUTF-HOA-REG-26-09",3e+06,"SO",
"93","T05-EUTF-SAH-REG-13-03",5e+06,"BF",
"94","T05-EUTF-SAH-REG-13-03",5e+06,"ML",
"95","T05-EUTF-SAH-REG-13-03",5e+06,"NE",
"96","T05-EUTF-SAH-REG-13-02",5e+06,"CI",
"97","T05-EUTF-SAH-REG-13-02",5e+06,"GM",
"98","T05-EUTF-SAH-REG-13-02",5e+06,"GN",
"99","T05-EUTF-SAH-REG-13-02",5e+06,"SN",
"100","T05-EUTF-SAH-REG-13-01",1e+07,"BF",
"101","T05-EUTF-SAH-REG-13-01",1e+07,"GM",
"102","T05-EUTF-SAH-REG-13-01",1e+07,"ML",
"103","T05-EUTF-SAH-REG-13-01",1e+07,"NE",
"104","T05-EUTF-SAH-REG-13-01",1e+07,"SN",
"105","T05-EUTF-NOA-LY-12-02",6e+06,"LY",
"106","T05-EUTF-NOA-LY-11-03",3300000,"LY",
"107","T05-EUTF-NOA-LY-10-01",1.5e+07,"LY",
"108","Social Transfers for vulnerable Somali people",2.7e+07,"SO","100.0"
"109","T05-EUTF-HOA-REG-79-03",5e+05,"BI",
"110","T05-EUTF- SAH-ML-13",2850000,"ML",
"111","T05-EUTF-HOA-REG-79-04",2e+06,"BI",
"112","T05-EUTF-HOA-REG-79-05",1600000,"RW","100.0"
"113","T05-EUTF-HOA-REG-79-06",1e+06,"RW","100.0"
"114","T05-EUTF-NOA-TN–03",3600000,"TN","100.0"
"115","T05-EUTF-NOA-TN–02",5700000,"TN","100.0"
"116","T05-EUTF-HOA-SS-74-03",2e+06,"SS","100.0"
"117","T05-EUTF-SAH-REG-25",2050000,"BF",
"118","T05-EUTF-SAH-REG-25",2050000,"ML",
"119","T05-EUTF-SAH-REG-25",2050000,"MR",
"120","T05-EUTF-SAH-REG-25",2050000,"NE",
"121","T05-EUTF-SAH-REG-25",2050000,"TD",
"122","T05-EUTF-NOA-REG-09-01",7705000,"EG",
"123","T05-EUTF-SAH-CI-03",2.5e+07,"CI",
"124","T05-EUTF-SAH-CI-02",5e+06,"CI",
"125","T05-EUTF-SAH-BF-11",1e+07,"BF",
"126","T05-EUTF-SAH-NE-16",4500000,"NE",
"127","T05-EUTF-SAH-BF-10",7e+06,"BF",
"128","T05-EUTF-SAH-NE-14",7e+06,"NE",
"129","T05-EUTF-NOA-REG-09-03",2940000,"TN",
"130","T05-EUTF-NOA-REG-09-02",1610000,"MA",
"131","T05-EUTF-SAH-GN-05",5e+06,"GN",
"132","T05-EUTF-SAH-GN-04",8e+06,"GN",
"133","T05-EUTF-SAH-GM-04",1050000,"GM",
"134","T05-EUTF-NOA-LY-01-02",1e+06,"LY",
"135","T05-EUTF-SAH-NE-13",8e+06,"NE",
"136","T05-EUTF-SAH-REG-24",2.1e+07,"BF",
"137","T05-EUTF-SAH-REG-24",2.1e+07,"ML",
"138","T05-EUTF-SAH-REG-24",2.1e+07,"NE",
"139","T05-EUTF-NOA-REG-17",5e+06,"TN","100.0"
"140","T05-EUTF-NOA-LY-13",2.5e+07,"LY","100.0"
"141","T05-EUTF-NOA-LY-12",2e+07,"LY","100.0"
"142","T05-EUTF-NOA-REG-16",1e+07,"DZ","25.0"
"143","T05-EUTF-NOA-REG-16",1e+07,"EG","25.0"
"144","T05-EUTF-NOA-REG-16",1e+07,"MA","25.0"
"145","T05-EUTF-NOA-REG-16",1e+07,"TN","25.0"
"146","T05-EUTF-NOA-REG-15",6500000,"EG","25.0"
"147","T05-EUTF-NOA-REG-15",6500000,"LY","25.0"
"148","T05-EUTF-NOA-REG-15",6500000,"MA","25.0"
"149","T05-EUTF-NOA-REG-15",6500000,"TN","25.0"
"150","T05-EUTF-NOA-REG-14",3700000,"EG","50.0"
"151","T05-EUTF-NOA-REG-14",3700000,"LY","50.0"
"152","T05-EUTF-NOA-LY-11",30200000,"LY","100.0"
"153","T05-EUTF-HOA-KE-69-02",19900000,"KE",
"154","T05-EUTF-SAH-BF-08-10",525825,"BF",
"155","T05-EUTF-HOA-SD-90-01",6900000,,"100.0"
"156","T05-EUTF-SAH-BF-08-09",642105,"BF",
"157","T05-EUTF-SAH-BF-08-08",750000,"BF",
"158","T05-EUTF-HOA-REG-26-07",2e+07,"ET",
"159","T05-EUTF-HOA-REG-26-07",2e+07,"SD",
"160","T05-EUTF-HOA-SS-93",4974973,"SS",
"161","T05-EUTF-HOA-SD-98",19874875,"SD",
"162","T05-EUTF-HOA-SD-97",1e+07,"SD",
"163","T05-EUTF-HOA-SD-96",4e+07,"SD",
"164","T05-EUTF-HOA-SD-95",31970000,"SD",
"165","T05-EUTF-HOA-ET-42-01",7750000,"ET",
"166","T05-EUTF-HOA-ET-40-02",1e+07,"ET",
"167","T05-EUTF-HOA-ET-60-01",5e+07,"ET",
"168","T05-EUTF-HOA-SD-45-01",8e+06,"SD",
"169","T05-EUTF-HOA-SD-54-01",14885000,"SD",
"170","T05-EUTF-HOA-SS-49-01",2e+06,"SS","100.0"
"171","T05-EUTF-HOA-SS-49-03",6375000,"SS","100.0"
"172","T05-EUTF-HOA-SS-49-02",6375000,"SS","100.0"
"173","T05-EUTF-HoA-SO-03",1.2e+07,"SO","100.0"
"174","T05-EUTF-HOA-SO-57-07",3e+06,"SO",
"175","T05-EUTF-HOA-SO-46-05",4300000,"SO",
"176","T05-EUTF-HOA-SO-46-06",7e+06,"SO",
"177","T05-EUTF-HOA-SO-03-12",1e+06,"SO",
"178","T05-EUTF-HOA-SO-46-04",1e+06,"SO",
"179","T05-EUTF-HOA-SO-03-11",1e+06,"SO",
"180","T05-EUTF-HOA-SO-46-03",7e+06,"SO",
"181","T05-EUTF-HOA-SS-74-01",20625000,"SS","100.0"
"182","T05-EUTF-HoA-SS-74-02",1e+06,"SS","100.0"
"183","T05-EUTF-HOA-SD-91",20200000,"SD","100.0"
"184","T05-EUTF-SAH-NG-09",5e+07,"NG",
"185","T05-EUTF-SAH-REG-04-06",6300499,"TD",
"186","T05-EUTF-HOA-SD-94",6.5e+07,"SD","100.0"
"187","T05-EUTF-HOA-SO-16",6e+07,"SO",
"188","T05-EUTF-HOA-SO-59-02",99400000,"SO",
"189","T05-EUTF-HOA-SD-53-01",1e+06,"SD",
"190","T05-EUTF-HOA-SD-38-07",350000,"SD",
"191","T05-EUTF-HOA-SD-33-01",8750000,"SD",
"192","T05-EUTF-HOA-ET-52-01",1.5e+07,"ET",
"193","T05-EUTF-HOA-ET-51-01",3050000,"ET",
"194","T05-EUTF-HOA-ET-40-01",4200000,"ET",
"195","T05-EUTF-HOA-ET-24-03",5e+06,"ET",
"196","T05-EUTF-HOA-ET-24-01",4854149,"ET",
"197","T05-EUTF-HOA-ET-01-11",2300000,"ET",
"198","T05-EUTF-HOA-ET-01-09",1362000,"ET",
"199","T05-EUTF-SAH-TD-01-08",655380,"TD",
"200","T05-EUTF-SAH-TD-01-07",847397,"TD",
"201","T05-EUTF-SAH-TD-07-01",7e+06,"TD",
"202","T05-EUTF-NOA-REG-06-02",1.5e+07,"EG",
"203","T05-EUTF-NOA-REG-06-02",1.5e+07,"MA",
"204","T05-EUTF-NOA-REG-06-02",1.5e+07,"TN",
"205","T05-EUTF-NOA-LY-10",1.7e+07,"LY","100.0"
"206","T05-EUTF-NOA-REG-13",2.4e+07,"LY","100.0"
"207","T05-EUTF-NOA-MA-07",101750000,"MA","100.0"
"208","T05-EUTF-HOA-UG-39-03",9e+06,"UG","100.0"
"209","T05-EUTF-HOA-SD-90",7e+06,"SD","100.0"
"210","T05-EUTF-HOA-REG-81",12800000,"RW","100.0"
"211","T05-EUTF-HOA-REG-80",3e+06,"DJ","12.5"
"212","T05-EUTF-HOA-REG-80",3e+06,"ER","12.5"
"213","T05-EUTF-HOA-REG-80",3e+06,"ET","12.5"
"214","T05-EUTF-HOA-REG-80",3e+06,"KE","12.5"
"215","T05-EUTF-HOA-REG-80",3e+06,"SD","12.5"
"216","T05-EUTF-HOA-REG-80",3e+06,"SO","12.5"
"217","T05-EUTF-HOA-REG-80",3e+06,"SS","12.5"
"218","T05-EUTF-HOA-REG-80",3e+06,"UG","12.5"
"219","T05-EUTF-HOA-UG-83",9900000,"UG","100.0"
"220","T05-EUTF-HOA-SD-82",34870000,"SD","100.0"
"221","T05-EUTF-HOA-SD-44-01",8e+06,"SD","100.0"
"222","T05-EUTF-HOA-SS-84",35900000,"SS","100.0"
"223","T05-EUTF-HOA-SS-85",4951982,"SS","100.0"
"224","T05-EUTF-HOA-ER-88",1017284,"ER","100.0"
"225","T05-EUTF-HOA-ER-86",1.5e+07,"ER","100.0"
"226","T05-EUTF-HOA-REG-67",8200000,"ET","35.0"
"227","T05-EUTF-HOA-REG-67",8200000,"UG","35.0"
"228","T05-EUTF-HOA-REG-81-01",12500000,"RW",
"229","T05-EUTF-SAH-SN-10-01",9e+06,"SN","100.0"
"230","T05-EUTF-SAH-MR-07-02",3158000,"MR","100.0"
"231","T05-EUTF-SAH-MR-07-03",3158000,"MR","100.0"
"232","T05-EUTF-SAH-MR-07-01",4210527.39,"MR",
"233","T05-EUTF-SAH-GN-01-03",1e+07,"GN",
"234","T05-EUTF-SAH-BF-08-06",775000,"BF","100.0"
"235","T05-EUTF-SAH-BF-08-05",1475000,"BF","100.0"
"236","T05-EUTF-SAH-GH-01-01",4840000,"GH","100.0"
"237","T05-EUTF-SAH-GH-02-02",9940000,"GH","100.0"
"238","T05-EUTF-SAH-GH-02-01",9840000,"GH","100.0"
"239","T05-EUTF-NOA-REG-05-01",1.5e+07,"DZ","20.0"
"240","T05-EUTF-NOA-REG-05-01",1.5e+07,"EG","20.0"
"241","T05-EUTF-NOA-REG-05-01",1.5e+07,"LY","20.0"
"242","T05-EUTF-NOA-REG-05-01",1.5e+07,"MA","20.0"
"243","T05-EUTF-NOA-REG-05-01",1.5e+07,"TN","20.0"
"244","T05-EUTF-NOA-EG-01-06",6e+06,"EG","100.0"
"245","T05-EUTF-NOA-LY-05-03",1e+07,"LY","100.0"
"246","T05-EUTF-NOA-LY-09-01",1.8e+07,"LY","100.0"
"247","T05-EUTF-NOA-EG-01-02",1400000,"EG","100.0"
"248","T05-EUTF-NOA-LY-07-01",1.5e+07,"LY","100.0"
"249","T05-EUTF-NOA-LY-08-01",1.3e+07,"LY","100.0"
"250","T05-EUTF-NOA-LY-05-01",2.2e+07,"LY","100.0"
"251","T05-EUTF-NOA-LY-05-02",1.8e+07,"LY","100.0"
"252","T05-EUTF-NOA-LY-06-01",1.3e+07,"LY","100.0"
"253","T05-EUTF-NOA-EG-01-01",3e+06,"EG","100.0"
"254","T05-EUTF-NOA-EG-01-07",20500000,"EG","100.0"
"255","T05-EUTF-NOA-MA-04-01",8e+06,"MA","100.0"
"256","T05-EUTF-NOA-EG-01-04",2.7e+07,"EG","100.0"
"257","T05-EUTF-NOA-MA-05-01",4.4e+07,"MA","100.0"
"258","T05-EUTF-NOA-LY-08-03",5e+06,"LY","100.0"
"259","T05-EUTF-NOA-LY-08-02",5e+06,"LY","100.0"
"260","T05-EUTF-NOA-LY-02-02",3e+06,"LY","100.0"
"261","T05-EUTF-HOA-SD-31-05",4e+06,"SD","100.0"
"262","T05-EUTF-NOA-REG-06-01",8e+06,"EG","33.0"
"263","T05-EUTF-NOA-REG-06-01",8e+06,"MA","33.0"
"264","T05-EUTF-NOA-REG-06-01",8e+06,"TN","33.0"
"265","T05-EUTF-NOA-MA-06-01",8613500,"MA","100.0"
"266","T05-EUTF-NOA-MA-06-01",8613500,"CI",
"267","T05-EUTF-NOA-MA-06-01",8613500,"ML",
"268","T05-EUTF-NOA-MA-06-01",8613500,"SN",
"269","T05-EUTF-NOA-xx-xx",1,"TN","100.0"
"270","YEP Programmes",12000,"UG",
"271","T05-EUTF-SAH-GM-03-03",5e+06,"GM","100.0"
"272","T05-EUTF-NOA-REG-09",11500000,"EG","33.0"
"273","T05-EUTF-NOA-REG-09",11500000,"MA","33.0"
"274","T05-EUTF-NOA-REG-09",11500000,"TN","33.0"
"275","T05-EUTF-NOA-REG-10",3500000,"DZ","20.0"
"276","T05-EUTF-NOA-REG-10",3500000,"EG","20.0"
"277","T05-EUTF-NOA-REG-10",3500000,"LY","20.0"
"278","T05-EUTF-NOA-REG-10",3500000,"MA","20.0"
"279","T05-EUTF-NOA-REG-10",3500000,"TN","20.0"
"280","T05-EUTF-NOA-REG-11",5e+06,"MA","50.0"
"281","T05-EUTF-NOA-REG-11",5e+06,"TN","50.0"
"282","T05-EUTF-NOA-REG-08",1.2e+07,"DZ",
"283","T05-EUTF-NOA-REG-08",1.2e+07,"EG",
"284","T05-EUTF-NOA-REG-08",1.2e+07,"LY",
"285","T05-EUTF-NOA-REG-08",1.2e+07,"MA",
"286","T05-EUTF-NOA-REG-08",1.2e+07,"TN",
"287","T05-EUTF-HOA-REG-20-03",350000,"DJ",
"288","T05-EUTF-HOA-REG-20-03",350000,"ET",
"289","T05-EUTF-HOA-REG-20-03",350000,"KE",
"290","T05-EUTF-HOA-REG-20-03",350000,"SD",
"291","T05-EUTF-HOA-REG-20-03",350000,"SO",
"292","T05-EUTF-HOA-REG-20-03",350000,"SS",
"293","T05-EUTF-HOA-REG-20-03",350000,"UG",
"294","T05-EUTF-REG-HOA-02-13",56680,"DJ","100.0"
"295","T05-EUTF-NOA-LY-09",1.8e+07,"LY","100.0"
"296","T05-EUTF-HOA-REG-20-04",59912,"DJ",
"297","T05-EUTF-HOA-REG-20-04",59912,"ET",
"298","T05-EUTF-HOA-REG-20-04",59912,"SD",
"299","T05-EUTF-HOA-REG-20-04",59912,"SO",
"300","T05-EUTF-HOA-REG-20-04",59912,"SS",
"301","T05-EUTF-HOA-REG-20-04",59912,"UG",
"302","T05-EUTF-SAH-REG-19-01",5e+06,"BF",
"303","T05-EUTF-SAH-REG-19-01",5e+06,"ML",
"304","T05-EUTF-SAH-REG-19-01",5e+06,"MR",
"305","T05-EUTF-SAH-REG-19-01",5e+06,"NE",
"306","T05-EUTF-SAH-REG-19-01",5e+06,"TD",
"307","T05-EUTF-HOA-REG-19-03",16809,"DJ",
"308","T05-EUTF-HOA-REG-19-03",16809,"ET",
"309","T05-EUTF-HOA-REG-19-03",16809,"KE",
"310","T05-EUTF-HOA-REG-19-03",16809,"SD",
"311","T05-EUTF-HOA-REG-19-03",16809,"SS",
"312","T05-EUTF-HOA-REG-19-03",16809,"UG",
"313","T05-EUTF-NOA-LY-08",2.3e+07,"LY","100.0"
"314","T05-EUTF-HOA-DJ-41-01",9070000,"DJ","100.0"
"315","T05-EUTF-SAH-REG-12-01",17400000,"CI",
"316","T05-EUTF-SAH-REG-12-01",17400000,"GH",
"317","T05-EUTF-SAH-REG-12-01",17400000,"GN",
"318","T05-EUTF-SAH-REG-12-01",17400000,"NG",
"319","T05-EUTF-SAH-NE-11-01",8865000,"NE",
"320","T05-EUTF-SAH-ML-05-02",1e+06,"ML",
"321","T05-EUTF-SAH-NE-11-03",13790000,"NE",
"322","T05-EUTF-REG-REG-04-01",3e+07,"BF",
"323","T05-EUTF-REG-REG-04-01",3e+07,"LY",
"324","T05-EUTF-REG-REG-04-01",3e+07,"NE",
"325","T05-EUTF-SAH-REG-10-01",1e+07,"BF",
"326","T05-EUTF-SAH-REG-10-01",1e+07,"CI",
"327","T05-EUTF-SAH-REG-10-01",1e+07,"CM",
"328","T05-EUTF-SAH-REG-10-01",1e+07,"GH",
"329","T05-EUTF-SAH-REG-10-01",1e+07,"GM",
"330","T05-EUTF-SAH-REG-10-01",1e+07,"GN",
"331","T05-EUTF-SAH-REG-10-01",1e+07,"ML",
"332","T05-EUTF-SAH-REG-10-01",1e+07,"MR",
"333","T05-EUTF-SAH-REG-10-01",1e+07,"NE",
"334","T05-EUTF-SAH-REG-10-01",1e+07,"NG",
"335","T05-EUTF-SAH-REG-10-01",1e+07,"SN",
"336","T05-EUTF-SAH-REG-10-01",1e+07,"TD",
"337","T05-EUTF-SAH-REG-21",5e+06,"CM",
"338","T05-EUTF-SAH-REG-21",5e+06,"NE",
"339","T05-EUTF-SAH-REG-21",5e+06,"NG",
"340","T05-EUTF-SAH-REG-21",5e+06,"TD",
"341","T05-EUTF-HOA-SO-46-03 & T05-EUTF-HOA-SO-03-06 & T05-EUTF-HOA-SO-57-03",16300000,"SO",
"342","T05-EUTF-HOA-UG-39-02",1e+06,"UG",
"343","T05-EUTF-SAH-REG-23",2e+07,"BF",
"344","T05-EUTF-SAH-REG-23",2e+07,"ML",
"345","T05-EUTF-SAH-REG-23",2e+07,"MR",
"346","T05-EUTF-SAH-REG-23",2e+07,"NE",
"347","T05-EUTF-SAH-REG-23",2e+07,"TD",
"348","T05-EUTF-SAH-GM-03-04",7e+06,"GM",
"349","T05-EUTF-HOA-SS-50-02",354500,"SS","100.0"
"350","T05-EUTF-HOA-ET-24-02",4e+06,"ET","100.0"
"351","T05-EUTF-HOA-REG-79",1.3e+07,"BI",
"352","T05-EUTF-HOA-REG-79",1.3e+07,"CD",
"353","T05-EUTF-HOA-REG-79",1.3e+07,"RW",
"354","T05-EUTF-HOA-REG-79",1.3e+07,"TZ",
"355","T05-EUTF-HOA-REG-79",1.3e+07,"UG",
"356","T05-EUTF-HOA-REG-78",3e+07,"DJ",
"357","T05-EUTF-HOA-REG-78",3e+07,"ER",
"358","T05-EUTF-HOA-REG-78",3e+07,"ET",
"359","T05-EUTF-HOA-REG-78",3e+07,"KE",
"360","T05-EUTF-HOA-REG-78",3e+07,"SD",
"361","T05-EUTF-HOA-REG-78",3e+07,"SO",
"362","T05-EUTF-HOA-REG-78",3e+07,"SS",
"363","T05-EUTF-HOA-REG-78",3e+07,"UG",
"364","T05-EUTF-HOA-ET-77",1.3e+07,"ET","100.0"
"365","T05-EUTF-HOA-ET-76",6e+06,"ET","100.0"
"366","T05-EUTF-HOA-SS-75",14999996,"SS","100.0"
"367","T05-EUTF-HOA-SS-74",23800000,"SS","100.0"
"368","T05-EUTF-HOA-SD-73",1.5e+07,"SD","100.0"
"369","T05-EUTF-HOA-SD-63-02",4e+06,"SD",
"370","T05-EUTF-HOA-SD-63-01",6e+06,"SD",
"371","T05-EUTF-SAH-REG-22",2e+06,"BF",
"372","T05-EUTF-SAH-REG-22",2e+06,"ML",
"373","T05-EUTF-SAH-REG-22",2e+06,"MR",
"374","T05-EUTF-SAH-REG-22",2e+06,"NE",
"375","T05-EUTF-SAH-REG-22",2e+06,"TD",
"376","T05-EUTF-SAH-REG-20",1e+07,"BF",
"377","T05-EUTF-SAH-REG-20",1e+07,"ML",
"378","T05-EUTF-SAH-REG-20",1e+07,"MR",
"379","T05-EUTF-SAH-REG-20",1e+07,"NE",
"380","T05-EUTF-SAH-REG-20",1e+07,"TD",
"381","T05-EUTF-SAH-ML-12",1.3e+07,"ML",
"382","T05-EUTF-SAH-GH-02",2e+07,"GH",
"383","T05-EUTF-SAH-GH-01",5e+06,"GH",
