region;country;nr of projects;budget
NOA;Algeria;10;12330000.00
(SAH);Benin;3;1000000.00
SAH;Burkina Faso;35;222506000.00
(HOA);Burundi;1;0.00
(SAH);Cabo Verde;2;4000000.00
SAH;Cameroon;15;48075000.00
SAH;Chad;30;131773250.00
SAH;Côte d'Ivoire;15;33702420.00
(HOA);Democratic Republic of the Congo;2;3000000.00
HOA;Djibouti;16;91883150.55
NOA;Egypt;16;89200000.00
HOA;Eritrea;16;88555434.55
HOA;Ethiopia;27;334563565.96
SAH;Gambia;14;38950000.00
SAH;Ghana;14;28994950.00
SAH;Guinea;15;83404840.00
(SAH);Guinea-Bissau;5;4379540.00
HOA;Kenya;19;149452214.83
(SAH);Liberia;1;0.00
NOA;Libya;24;396428927.28
SAH;Mali;37;237100233.00
SAH;Mauritania;30;96098000.00
NOA;Morocco;23;288293500.00
SAH;Niger;40;294621000.00
SAH;Nigeria;17;133898633.00
(HOA);Rwanda;2;12800000.00
SAH;Senegal;22;181837934.00
(SAH);Sierra Leone;1;0.00
HOA;Somalia;25;590870442.22
HOA;South Sudan;25;237927559.72
HOA;Sudan;41;553485934.89
HOA;Tanzania;7;41243400.00
(SAH);Togo;2;0.00
NOA;Tunisia;18;76450000.00
HOA;Uganda;18;127980675.83